"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season20/21","period2","https://twitter.com/raistlin6/status/1353061633350754305","2021-01-23 19:26:46+00:00","1353061633350754305","@RW1666 Ik zie sowieso bijna iedere spits liever dan Zahavi, maar Lammers ben ik wel echt fan van. Lucinho mag van mij ook wel weer terugkomen. Zit veel op de bank in Sevilla en dat zie ik niet zo snel veranderen. Strand Larsen zie ik ook graag spelen. Mag van mij ook naar #PSV.","raistlin6","1","0","0","Netherlands","186","1124","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/maasje70/status/1353061633120038913","2021-01-23 19:26:46+00:00","1353061633120038913","#vvvvenlo #eredivisie #voetbal @ESPNnl @veronicainside 💛🖤🇬🇷 https://t.co/D52oG4WVpY","maasje70","0","0","0","Venlo","380","296","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/WeeningJohan/status/1353061614728056834","2021-01-23 19:26:42+00:00","1353061614728056834","Jorgensen naar Galatasaray? Als we een goed bod krijgen zou ik hem laten gaan, we hebben Bozo, Pratto en Linssen en Sini kunnen daar ook spelen. Bovendien zal hij wel blessuregevoelig blijven. #Feyenoord #Jorgensen","WeeningJohan","2","0","5","Drachten, Nederland","495","798","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/JacobDidi2022/status/1353061317431595010","2021-01-23 19:25:31+00:00","1353061317431595010","Ik baal zelfs van blessures van #psv #Feyenoord etc etc . Gewoon klote ....","JacobDidi2022","0","0","1","Amsterdam, Nederland","532","1402","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/PSVEind_040/status/1353061151395827712","2021-01-23 19:24:51+00:00","1353061151395827712","Ze zijn zo lekker fit ook bij #psv dat wisselen heeft flink geholpen de afgelopen weken #schmidtout #psv #psvrkc afbraakvoetbal","PSVEind_040","0","0","1","","44","191","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/tomteselle/status/1353061083733352449","2021-01-23 19:24:35+00:00","1353061083733352449","#toure heeft het vandaag nog helemaal niet he #vitesse #vitgro","tomteselle","0","0","0","amersfoort,the netherlands","505","701","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/rugnummer10/status/1353061018599968771","2021-01-23 19:24:20+00:00","1353061018599968771","Madueke geblesseerd. Ai, ai, ai, Danny Makkelie, dat wordt een probleem voor je. Na de wedstrijd op het matje bij Schmidt. #psvrkc #psv","rugnummer10","0","0","4","","33","99","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/Nielsie001/status/1353060748809838597","2021-01-23 19:23:15+00:00","1353060748809838597","Ook #Madueke er nog af. Wat een pech zeg! #PSV #PSVrkc","Nielsie001","1","0","0","Mierlo","1316","205","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353060705000296449","2021-01-23 19:23:05+00:00","1353060705000296449","'79 Een gele kaart voor Vroegh na een overtreding op El Hankouri 

#Vitesse #vitgro","MijnVitesse","0","0","2","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353060618861830147","2021-01-23 19:22:44+00:00","1353060618861830147","'78 Drie wissels bij @fcgroningen

Te Wierik, Matusiwa en Dankerlui eruit, 
Van Hintum, Lundqvist en Schreck erin

#Vitesse #vitgro","MijnVitesse","0","0","1","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/ajaxfan3/status/1353060538754850817","2021-01-23 19:22:25+00:00","1353060538754850817","Met een stuk of 3 gele kaarten had #Psv niets te klagen gehad. Maar zoals gewoonlijk hebben ze er al 0. #psvrkc","ajaxfan3","2","0","1","Amsterdam","1097","228","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Joostrid/status/1353060148856590344","2021-01-23 19:20:52+00:00","1353060148856590344","Hoe het nog maar 1-0 staat is echt een wonder.. Maar ga vol voor de gelijkmaker! #vitGRO #FCGroningen","Joostrid","0","1","0","","165","249","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/RW1666/status/1353060044737191939","2021-01-23 19:20:27+00:00","1353060044737191939","Als je ziet dat Sam Lammers alweer niet heeft gespeeld. Blijft enorm zonde. Had hem zo graag ipv Zahavi gezien. #PSV","RW1666","1","0","1","","45","128","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
